,name,market,funding_total_usd,status,funding_rounds,State_code,City,founded_at,company_name,acquired_at,price_amount
20034,Stiki Digital,Online_Tech,325000,closed,3,CA,Sunnyvale,2007-03-01,,,
20035,StillSecure,Online_Tech,5000000,operating,1,WI,Superior,2000-01-01,,,
20036,Stillwater Scientific Instruments,Medical,1150000,operating,1,ME,Orono,,,,
20037,Stillwater Supercomputing,Online_Tech,250000,operating,1,CA,El Dorado Hills,2007-03-21,,,
20038,Stimulus Technologies,Online_Tech,0,operating,1,NV,Henderson,2014-01-03,,,
20039,Stimwave Technologies,Online_Tech,4715000,operating,2,AZ,Scottsdale,2010-01-01,,,
20040,Sting Communications,Online_Tech,4500000,operating,2,PA,Lebanon,1999-01-01,,,
20041,AwesomenessTV,Gaming,3500000,acquired,1,CA,Los Angeles,2012-06-21,AwesomenessTV,2013-05-01,33000000.0
20042,Stio,Art,5900000,operating,1,MI,Wyoming,2011-01-01,,,
20043,Stion,Online_Tech,220000000,operating,4,CA,San Jose,2006-01-01,,,
20044,Stipple,Online_Tech,14379000,operating,4,CA,San Francisco,2010-01-01,,,
20045,Stir,Medical,1500000,operating,1,CA,Pasadena,2012-06-01,,,
20046,Stirling Ultracold(Global Cooling),Manufacturing,2601040,operating,1,OH,Athens,1995-01-01,,,
20047,8D World,Online_Tech,12250000,closed,2,MA,Woburn,,,,
20048,Stitch,Online_Tech,1077000,operating,2,CA,San Francisco,2014-01-01,,,
20049,Stitch,Online_Tech,3250000,operating,1,CA,San Francisco,2013-01-01,,,
20050,Stitch Fix,Art,46750000,operating,3,CA,San Francisco,2011-02-01,,,
20051,Stitch Labs,Online_Tech,8000000,operating,3,CA,San Francisco,2011-01-01,,,
20052,Stitch.es,Online_Tech,0,operating,1,CA,San Francisco,2010-12-01,,,
20053,Stitcher,Art,18700000,acquired,3,CA,San Francisco,2008-01-01,Stitcher,2014-10-24,
20054,Stkr.it,Art,810040,operating,1,NY,Brooklyn,2011-01-01,,,
20055,STO Industrial Components,Manufacturing,0,operating,1,UT,Mount Pleasant,2012-03-02,,,
20056,AwesomeTouch,Online_Tech,59700,acquired,4,KY,Lexington,2010-07-26,AwesomeTouch,2011-09-01,
20057,Stock Manufacturing Company,Retail,20000,operating,1,IL,Chicago,2012-01-01,,,
20058,StockCastr,Online_Tech,25000,closed,1,PA,Pittsburgh,,,,
20059,StockLayouts,Online_Tech,0,operating,1,OR,Tigard,2001-07-01,,,
20060,Stockleap,Online_Tech,0,operating,1,OH,Columbus,2013-01-01,,,
20061,Stockr,Online_Tech,1500000,operating,3,CA,Santa Monica,2010-05-01,,,
20062,StockTwits,Online_Tech,8600000,operating,5,CA,San Diego,2008-01-01,,,
20063,StockUp,Online_Tech,3304810,operating,1,DC,Washington,2013-01-01,,,
20064,Stoke,Online_Tech,122609480,operating,10,CA,Santa Clara,2004-01-01,,,
20065,Stone Medical Corporation,Medical,175000,operating,2,IL,Moline,2007-10-05,,,
20066,StoneCastle Partners,Online_Tech,0,operating,1,NY,New York,,,,
20067,awesomize.me,Online_Tech,50000,operating,1,DC,Washington,2010-11-08,,,
20068,Stonehenge Gardens,Gaming,20000,operating,1,NV,Las Vegas,2014-01-02,,,
20069,Stoner and Company,Renting,0,operating,1,CO,Fort Collins,2014-07-16,,,
20070,StoneRiver,Online_Tech,12300000,operating,1,IA,Cedar Rapids,,,,
20071,Stonestreet One,Online_Tech,3400000,acquired,1,KY,Louisville,2000-01-01,Stonestreet One,2014-09-19,
20072,Stonewedge,Online_Tech,2500000,operating,3,MA,Andover,,,,
20073,Stop Being Watched,Online_Tech,500000,operating,1,CA,Santa Monica,2010-06-10,,,
20074,aWhere,Online_Tech,13750000,operating,3,CO,Golden,2007-01-01,,,
20075,StopTheHacker,Online_Tech,1100000,acquired,1,CA,Burlingame,2008-01-01,StopTheHacker,2014-02-24,
20076,Stor Networks,Online_Tech,100000,operating,1,UT,Salt Lake City,2010-01-01,,,
20077,Storactive,Online_Tech,30680000,acquired,5,CA,Marina Del Rey,,Storactive,2006-03-05,
20078,Storage By The Box,Online_Tech,250000,closed,1,IL,Chicago,2009-07-29,,,
20079,Storage Genetics,Online_Tech,1000000,closed,1,CO,Longmont,2008-01-01,,,
20080,StorageTreasures.com,Online_Tech,0,operating,1,NV,Reno,,,,
20081,AWID,Online_Tech,2000000,operating,1,CA,Morgan Hill,1997-01-01,,,
20082,Store Eyes,Online_Tech,1000000,operating,1,PA,Allentown,,,,
20083,Store Vantage,Other,500000,operating,1,CA,San Francisco,2012-04-01,,,
20084,StoredIQ,Online_Tech,44541657,acquired,5,TX,Austin,2001-01-01,StoredIQ,2012-12-19,
20085,StoreFlix,Online_Tech,500000,operating,2,OH,Mason,2010-01-01,,,
20086,Storefront,Online_Tech,8900000,operating,2,CA,San Francisco,2012-01-01,,,
20087,StoreFront.net,Online_Tech,6000000,acquired,1,KS,Olathe,1996-01-01,StoreFront.net,2009-01-19,
20088,Storehouse,Art,8500000,operating,2,CA,San Francisco,2013-01-01,,,
20089,Storelli Sports,Fitness,500000,operating,2,NY,New York,2010-04-02,,,
20090,Storenvy,Online_Tech,6525000,operating,2,CA,San Francisco,2010-08-01,,,
20091,Storie,Online_Tech,0,operating,1,CA,San Francisco,,,,
20092,Storify,Online_Tech,2023000,acquired,3,CA,San Francisco,2009-12-11,Storify,2013-09-09,
20093,Storitz,Online_Tech,1550000,operating,2,CA,Los Angeles,2010-01-01,,,
20094,Storm Exchange,Online_Tech,10800000,closed,2,NY,New York,2006-04-01,,,
20095,Storm Tactical Products,Fitness,0,operating,1,IL,Elmhurst,2013-07-28,,,
20096,Stormpath,Online_Tech,9700000,operating,2,CA,San Mateo,,,,
20097,Stormpulse,Online_Tech,3307500,operating,4,TX,Austin,2007-08-01,,,
20098,AWR Corporation,Online_Tech,6400000,acquired,1,CA,El Segundo,1994-07-23,AWR Corporation,2011-05-23,
20099,Stormwater Filters Corp.,Manufacturing,0,operating,1,CA,Westminster,2008-07-11,,,
20100,StormWind,Education,9705000,operating,3,AZ,Scottsdale,2008-01-01,,,
20101,StorSimple,Online_Tech,31500000,acquired,3,CA,Santa Clara,2009-01-01,StorSimple,2012-10-17,
20102,Storspeed,Online_Tech,13000000,closed,1,TX,Austin,2007-01-01,,,
20103,Storwize,Online_Tech,28000000,acquired,2,MA,Marlborough,2004-01-01,Storwize,2010-06-14,140000000.0
20104,Story2,Education,1020000,operating,2,NY,New York,2010-01-01,,,
20105,Storybird,Online_Tech,2500000,operating,1,NY,Brooklyn,2009-01-01,,,
20106,StoryBox,Online_Tech,2350000,operating,2,CA,San Francisco,2010-03-01,,,
20107,Storybricks,Online_Tech,815000,operating,1,CA,San Diego,2010-03-01,,,
20108,Storybyte,Education,125000,operating,1,AZ,Scottsdale,2013-11-15,,,
20109,Storymix Media,Online_Tech,155000,operating,2,IL,Chicago,2011-08-01,,,
20110,Storypanda,Education,0,operating,1,CA,Mountain View,2011-04-01,,,
20111,StoryPress,Online_Tech,565000,operating,3,TX,Seminole,2012-03-01,,,
20112,Storytime Studios,Online_Tech,500000,operating,2,CA,Santa Monica,2012-12-08,,,
20113,Storytree,Online_Tech,0,operating,1,CA,Palo Alto,2011-05-01,,,
20114,Storyvine,Online_Tech,0,operating,1,NY,New York,2012-01-01,,,
20115,Storyworks OnDemand,Online_Tech,170000,operating,1,MN,Minnetonka,2012-07-15,,,
20116,StoryWorth,Other,167000,operating,1,CA,San Francisco,2012-11-01,,,
20117,Stottler Henke Associates,Online_Tech,0,operating,1,CA,San Mateo,1988-06-30,,,
20118,StowThat,Online_Tech,50000,operating,2,WA,Seattle,,,,
20119,STP Group,Other,0,operating,1,AR,Bentonville,2010-05-01,,,
20120,StraighterLine,Education,10000000,,1,MD,Baltimore,2010-01-01,,,
20121,Strand Diagnostics,Medical,30000000,operating,1,IN,Indianapolis,2009-01-01,,,
20122,Stranzz beauty supply,Online_Tech,0,operating,1,NJ,Plainfield,2013-04-01,,,
20123,Axceler,Online_Tech,12000000,operating,1,MA,Woburn,1994-01-01,,,
20124,Strap,Online_Tech,1220000,operating,2,OH,Cincinnati,2014-01-01,,,
20125,StrataCloud,Online_Tech,2000000,operating,1,GA,Atlanta,2014-04-02,,,
20126,StrataGent Life Sciences,Medical,16000000,operating,1,CA,Los Gatos,,,,
20127,Stratasan,Online_Tech,1231756,operating,2,TN,Nashville,2010-09-01,,,
20128,Stratatech Corporation,Medical,3000000,operating,1,WA,Manson,,,,
20129,Stratavia,Online_Tech,10700000,acquired,5,CO,Denver,2001-01-01,Stratavia,2010-08-26,
20130,Strategic Funding Source,Banking,110000000,operating,1,NY,New York,,,,
20131,Axcelis Technologies,Manufacturing,15000000,operating,1,MA,Beverly,1978-01-01,,,
20132,Strategic Global Investments,Online_Tech,193000,operating,1,CA,Carlsbad,,,,
20133,Strategic Health Services,Medical,2700000,operating,2,IN,Crown Point,2007-01-01,,,
20134,Strategic Product Innovations,Other,0,operating,1,TX,Houston,2009-07-08,,,
20135,Strategic Science & Technologies,Medical,5061900,operating,1,MA,Cambridge,1994-01-01,,,
20136,Stratio,Online_Tech,0,operating,1,CA,Los Gatos,2013-01-01,,,
20137,Stratio Technology,Online_Tech,28000,operating,1,CA,Menlo Park,,,,
20138,Stratopy,Online_Tech,45000,operating,1,TX,Houston,2010-09-16,,,
20139,Stratos,Retail,5800000,operating,1,MI,Ann Arbor,2012-01-01,,,
20140,Axcient,Online_Tech,74174997,operating,8,CA,Mountain View,2006-01-01,,,
20141,Stratos Genomics,Medical,20929000,,6,WA,Seattle,2007-01-01,,,
20142,Stratus5,Online_Tech,500000,operating,1,CA,Lucerne Valley,2007-02-01,,,
20143,STRATUSCORE,Online_Tech,475000,operating,1,WA,Seattle,2010-01-01,,,
20144,StratusLIVE,Online_Tech,5300000,operating,2,VA,Virginia Beach,,,,
20145,Strauss Technology,Online_Tech,0,operating,1,CA,Santa Clara,,,,
20146,Strava,Online_Tech,34600000,operating,4,CA,San Francisco,2009-01-01,,,
20147,Stray Boots,Service,2225000,operating,3,NY,New York,2009-01-02,,,
20148,Streak,Online_Tech,1900000,operating,1,CA,San Francisco,2011-01-01,,,
20149,Axeda,Online_Tech,26000000,acquired,4,MA,Foxboro,2000-01-01,Axeda,2014-07-24,170000000.0
20150,Stream Alliance International Holding,Art,0,operating,1,FL,Miami,2014-05-05,,,
20151,Stream Global Services,Online_Tech,185083586,acquired,1,MN,Eagan,,Stream Global Services,2014-01-07,820000000.0
20152,Stream Processors,Manufacturing,38000000,operating,2,CA,Sunnyvale,,,,
20153,Stream TV Networks,Online_Tech,2713000,operating,2,PA,Philadelphia,,,,
20154,StreamBase Systems,Online_Tech,39000000,acquired,5,MA,Lexington,2003-01-01,StreamBase Systems,2013-06-11,
20155,streamit,Online_Tech,482602,operating,2,OR,Bend,2009-01-01,,,
20156,Streamix,Gaming,0,operating,2,AR,Fayetteville,2012-08-08,,,
20157,Streamline,Medical,475550,operating,1,MN,Eden Prairie,2007-01-01,,,
20158,Streamline Alliance,Corporate_Services,1000000,operating,1,FL,Kenansville,1999-01-05,,,
20159,Streamline Health Solutions,Medical,12000000,,1,GA,Atlanta,,,,
20160,StreamLink Software,Online_Tech,3500000,operating,1,OH,Cleveland,2008-01-01,,,
20161,StreamOcean,Art,0,operating,1,CA,San Jose,2008-11-01,,,
20162,streamOnce,Other,1360000,operating,1,CA,San Jose,2012-07-01,,,
20163,StreamSpec,Online_Tech,0,operating,1,NY,Brooklyn,,,,
20164,Streamup,Online_Tech,250000,operating,1,CA,Santa Monica,2013-01-01,,,
20165,Streamweaver,Online_Tech,3029994,operating,4,TN,Nashville,2011-01-01,,,
20166,Streamworks Products Group(SPG),Online_Tech,1245000,operating,2,CA,Stockton,2003-01-01,,,
20167,Streem,Online_Tech,875000,acquired,1,CA,San Francisco,2012-01-01,Streem,2014-06-16,
20168,AxelaCare,Medical,66000000,operating,1,KS,Lenexa,,,,
20169,Street Vetz entertainment,Gaming,0,operating,1,SC,Greenwood,2013-01-17,,,
20170,StreetfaireHD,Gaming,0,operating,1,SC,Columbia,2013-09-27,,,
20171,StreetFire,Retail,7900000,acquired,2,CA,Los Angeles,2004-06-01,StreetFire,2009-04-01,
20172,Axenic Dental,Medical,3694598,operating,3,MI,Kalamazoo,,,,
20173,StreetLight Data,Online_Tech,0,operating,2,CA,San Francisco,2010-01-01,,,
20174,Streetline,Online_Tech,50000000,operating,4,CA,San Francisco,2005-01-01,,,
20175,StreetOwl,Manufacturing,95000,operating,2,CA,San Francisco,2011-01-01,,,
20176,Stremor,Online_Tech,2000000,operating,1,AZ,Scottsdale,2011-11-17,,,
20177,Stretch,Manufacturing,58000000,acquired,7,CA,Sunnyvale,2002-01-01,Stretch,2014-01-14,
20178,Stretchr,Online_Tech,25000,operating,1,CO,Longmont,2013-08-01,,,
20179,Strevus,Online_Tech,5600000,operating,1,NY,New York,2012-01-01,,,
20180,Streyner,Online_Tech,13000,operating,1,UT,Midvale,2009-01-01,,,
20181,8eighty Wear,Art,0,operating,1,NY,New York,2012-03-15,,,
20182,Axentis Software,Online_Tech,12200000,operating,2,OH,Cleveland,1999-01-01,,,
20183,Striiv,Online_Tech,6000000,operating,1,CA,Redwood City,,,,
20184,StrikeAd,Online_Tech,7000000,operating,1,NY,New York,2010-07-01,,,
20185,StrikeForce Technologies,Online_Tech,382500,operating,1,NJ,Edison,,,,
20186,StrikeIron,Online_Tech,12840000,operating,3,NC,Cary,2003-01-01,,,
20187,Strikingly,Online_Tech,1500000,operating,2,CA,Sunnyvale,2013-11-12,,,
20188,String Enterprises,Online_Tech,1100000,operating,1,MA,Newton,2012-01-01,,,
20189,Stringr,Art,1000000,operating,1,CA,San Francisco,2013-01-01,,,
20190,Stripe,Banking,120000000,operating,5,CA,San Francisco,2010-01-01,,,
20191,Striped Sail,Online_Tech,210000,closed,1,IL,Champaign,2010-02-01,,,
20192,Strix Systems,Online_Tech,19000000,operating,4,CA,Newbury Park,,,,
20193,Strobe,Online_Tech,2500000,acquired,1,CA,San Francisco,2010-06-01,Strobe,2011-11-08,
20194,Strohl Medical,Medical,0,operating,1,MA,Norwell,2009-01-01,,,
20195,Stroho,Manufacturing,135000,operating,2,GA,Atlanta,2012-02-05,,,
20196,Strolby,Online_Tech,396470,operating,1,NY,Brooklyn,,,,
20197,Stromedix,Medical,28000000,acquired,3,MA,Cambridge,,Stromedix,2014-02-01,750000000.0
20198,Strong Arm Technologies,Medical,715000,operating,2,NY,Rochester,2011-01-01,,,
20199,Axerion Therapeutics,Medical,1150000,operating,2,CT,New Haven,,,,
20200,StrongLoop,Transportation,9000000,operating,2,CA,San Mateo,2013-01-01,,,
20201,StrongView,Online_Tech,38100000,operating,6,CA,Redwood City,2002-01-01,,,
20202,Stroz Friedberg,Corporate_Services,30000000,operating,1,NY,New York,2000-01-01,,,
20203,Structural Research and Analysis Corporation,Online_Tech,0,acquired,1,CA,Los Angeles,1986-01-01,Structural Research and Analysis Corporation,2000-06-12,
20204,Structured Polymers,Manufacturing,1500000,operating,1,TX,Austin,,,,
